ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030198,extracellular matrix organization,36/230,179/7572,0.201117318435754,6.62113189215448,13.4701765811229,2.845795385513E-20,6.8526752883153E-17,5.84736062370671E-17,LOC111327880/LOC111328024/LOC111320817/LOC111336303/LOC111320871/LOC111334934/LOC111330856/LOC111320781/LOC111335366/LOC111324935/LOC111320821/LOC111332308/LOC111327252/LOC111320822/LOC111322288/LOC111324993/LOC111336934/LOC111335693/LOC111322400/LOC111327625/LOC111320842/LOC111321759/LOC111324983/LOC111321489/LOC111320751/LOC111321680/LOC111326819/LOC111331622/LOC111326544/LOC111325220/LOC111324368/LOC111324945/LOC111335667/LOC111324943/LOC111321308/LOC111328842,36
GO:0098743,cell aggregation,8/230,20/7572,0.4,13.1686956521739,9.64409294911557,5.90147838878998E-08,7.10537998010314E-05,6.06299253416739E-05,LOC111327880/LOC111328024/LOC111320817/LOC111323862/LOC111320821/LOC111333478/LOC111320842/LOC111338817,8
GO:0042330,taxis,32/230,394/7572,0.0812182741116751,2.67384683292871,6.03942301767096,2.69521909814746E-07,0.000166030523375755,0.000141673186583963,LOC111327880/LOC111328024/LOC111328393/LOC111336303/LOC111332158/LOC111323862/LOC111342023/LOC111322288/LOC111328749/LOC111336934/LOC111335693/LOC111322400/LOC111327625/LOC111333478/LOC111333901/LOC111331664/LOC111323127/LOC111323777/LOC111345144/LOC111321759/LOC111323527/LOC111326819/LOC111323636/LOC111324532/LOC111325220/LOC111331301/LOC111333767/LOC111334761/LOC111331073/LOC111338912/LOC111327558/LOC111340622,32
GO:0001502,cartilage condensation,7/230,17/7572,0.411764705882353,13.556010230179,9.17259541885666,3.26843808252318E-07,0.000166030523375755,0.000141673186583963,LOC111327880/LOC111328024/LOC111320817/LOC111323862/LOC111320821/LOC111320842/LOC111338817,7
GO:1903035,negative regulation of response to wounding,10/230,42/7572,0.238095238095238,7.83850931677019,7.86542059571932,3.4474776448454E-07,0.000166030523375755,0.000141673186583963,LOC111336303/LOC111342023/LOC111320952/LOC111322288/LOC111332789/LOC111322400/LOC111333901/LOC111327334/LOC111330961/LOC111321308,10
GO:0008045,motor neuron axon guidance,13/230,77/7572,0.168831168831169,5.55821569734613,7.11521073597734,4.3762134191366E-07,0.000175632031888015,0.000149866115686923,LOC111327880/LOC111328024/LOC111328393/LOC111332158/LOC111342023/LOC111336934/LOC111333478/LOC111333901/LOC111323777/LOC111345144/LOC111341532/LOC111342215/LOC111338912,13
GO:0072376,protein activation cascade,6/230,14/7572,0.428571428571429,14.1093167701863,8.68908374266759,1.80218233777575E-06,0.000522461886391965,0.00044581465388928,LOC111327252/LOC111328749/LOC111338418/LOC111327334/LOC111323636/LOC111328207,6
GO:0033273,response to vitamin,10/230,50/7572,0.2,6.58434782608696,7.01171329161145,1.94406712224932E-06,0.000522461886391965,0.00044581465388928,LOC111320817/LOC111320821/LOC111327625/LOC111320842/LOC111338776/LOC111326819/LOC111331303/LOC111333893/LOC111325220/LOC111326058,10
GO:0006935,chemotaxis,28/230,348/7572,0.0804597701149425,2.64887556221889,5.57342274700007,1.95272299731216E-06,0.000522461886391965,0.00044581465388928,LOC111327880/LOC111328024/LOC111328393/LOC111336303/LOC111332158/LOC111323862/LOC111342023/LOC111322288/LOC111328749/LOC111336934/LOC111335693/LOC111322400/LOC111333478/LOC111333901/LOC111331664/LOC111323127/LOC111323777/LOC111345144/LOC111321759/LOC111323527/LOC111323636/LOC111324532/LOC111331301/LOC111333767/LOC111331073/LOC111338912/LOC111327558/LOC111340622,28
GO:0071711,basement membrane organization,8/230,32/7572,0.25,8.2304347826087,7.25415916751078,3.59282757639196E-06,0.000865152880395184,0.000738231518854432,LOC111336303/LOC111330856/LOC111322400/LOC111327625/LOC111321759/LOC111320751/LOC111326819/LOC111325220,8
GO:0030574,collagen catabolic process,7/230,24/7572,0.291666666666667,9.60217391304348,7.4701830633492,4.84798821327148E-06,0.00106126869250525,0.000905576362900088,LOC111324935/LOC111324993/LOC111324983/LOC111326544/LOC111333695/LOC111324945/LOC111324943,7
GO:0035336,long-chain fatty-acyl-CoA metabolic process,5/230,10/7572,0.5,16.4608695652174,8.65862499550155,5.50982462856319E-06,0.00110563814213168,0.000943436638153978,LOC111346087/LOC111331664/LOC111346320/LOC111331622/LOC111341830,5
